Tank,Rack/Stick,Box,Location,Line,Passage,Origin,Type,Subtype,Pools,CRISPR EDIT,Genotype,Reprogramming method,Age,Gender,Info,Media,ECM,Date,Initials,Notes,Cell number,Confluency
NCTank_BM1,12,6,A1,HEL61.2,p22,BSCC,iPSC,,,,WT,Sendai,57.0,F,General Stock,E8,VTN,09.07.2021,AS,,,
NCTank_BM1,12,6,A2,Pool 1,p6,BSCC,iPSC,,1.0,,,Sendai,,,Master Stock,E8,VTN,12.07.2021,AS,"Master stocks should be kept, not thawed",,
NCTank_BM1,12,6,A3,HEL61.2,p15,BSCC,iPSC,,,,WT,Sendai,57.0,F,Master Stock,E8,VTN,03.02.2021,RW,Do not take,,
NCTank_BM1,12,6,A4,Pool 3,p6,BSCC,iPSC,,1.0,,,Sendai,,,Master Stock,E8,VTN,12.07.2021,AS,To be taken to FIMM,,
NCTank_BM1,12,6,I8,HEL62.4,p18,BSCC,iPSC,,,,WT,Sendai,72.0,F,General Stock,E8,VTN,01.03.2021,RW,,,
NCTank_BM1,12,6,I9,HEL62.4,p18,BSCC,iPSC,,,,WT,Sendai,72.0,F,General Stock,E8,VTN,01.03.2021,RW,,,
Glacier_BM2,1,1,A1,HEL61.2,p15,BSCC,iPSC,,,,WT,Sendai,57.0,F,Master Stock,E8,VTN,03.02.2021,RW,Do not take,,
Glacier_BM2,1,1,A2,HEL61.2,p15,BSCC,iPSC,,,,WT,Sendai,57.0,F,Master Stock,E8,VTN,03.02.2021,RW,Do not take,,
Glacier_BM2,1,1,A3,HEL62.4,p15,BSCC,iPSC,,,,WT,Sendai,72.0,F,Master Stock,E8,VTN,03.02.2021,RW,Do not take,,
Glacier_BM2,1,1,A4,HEL61.1,p12,BSCC,iPSC,,,,WT,Sendai,,F,Master Stock,E8,VTN,19.04.2021,RW,,,
Glacier_BM2,1,1,A5,HEL61.1,p12,BSCC,iPSC,,,,WT,Sendai,,F,Master Stock,E8,VTN,19.04.2021,RW,,,
Glacier_BM2,1,1,A6,HEL11.4,p35,BSCC,iPSC,,,,WT,,,,Master Stock,E8,VTN,13.06.2021,RW,,,
Glacier_BM2,1,1,A7,HEL11.4,p35,BSCC,iPSC,,,,WT,,,,Master Stock,E8,VTN,13.06.2021,RW,,,
Glacier_BM2,1,2,I6,HEL61.2,d14,BSCC,NPC,Sanger,,,WT,Sendai,57.0,F,,NMM,VTN4x,09.06.2021,FI,Trial for NI Cond I (NO XAV 80%),,
Glacier_BM2,1,2,I7,HEL61.2,d14,BSCC,NPC,Sanger,,,WT,Sendai,57.0,F,,NMM,VTN4x,09.06.2021,FI,Trial for NI Cond I (NO XAV 80%),,
Glacier_BM2,1,2,I8,HEL61.2,d14,BSCC,NPC,Sanger,,,WT,Sendai,57.0,F,,NMM,VTN4x,09.06.2021,FI,Trial for NI Cond I (NO XAV 80%),,
Glacier_BM2,1,2,I9,HEL62.4,d14,BSCC,NPC,Sanger,,,WT,Sendai,72.0,F,,NMM,VTN4x,09.06.2021,FI,Trial for NI Cond I (NO XAV 80%) // round morphology,,
Glacier_BM2,1,3,A1,HEL62.4,d14,BSCC,NPC,Sanger,,,WT,Sendai,72.0,F,,NMM,VTN4x,09.06.2021,FI,Trial for NI Cond I (NO XAV 80%) // round morphology,,
Glacier_BM2,1,3,A2,HEL62.4,d14,BSCC,NPC,Sanger,,,WT,Sendai,72.0,F,,NMM,VTN4x,09.06.2021,FI,Trial for NI Cond I (NO XAV 80%) // round morphology,,
Glacier_BM2,1,3,A3,lise1,p28,HipSci,iPSC,,,,WT,,,,Master Stock,E8,VTN,15.08.2021,AS,,,
Glacier_BM2,1,3,A4,seru1,p22,HipSci,iPSC,,,,WT,Sendai,,,Master Stock,E8,VTN,13.08.2021,AS,Do not take,,
Glacier_BM2,1,3,A5,tolg4,p12,HipSci,iPSC,,,,WT,Sendai,,,Master Stock,E8,VTN,13.08.2021,AS,,,
Glacier_BM2,1,3,I8,CV_23.1_FreshPool_1,p2,HipSci,iPSC,,1.0,,,,,,,E8,VTN,26.11.2023,BP,,1 plate,70.0
Glacier_BM2,1,3,I9,CV_23.1_FreshPool_5,p2,HipSci,iPSC,,1.0,,,,,,,E8,VTN,26.11.2023,BP,,1 plate,70.0
Glacier_BM2,1,4,A1,,,,,,,,,,,,,,,,,,,
Glacier_BM2,1,4,A2,,,,,,,,,,,,,,,,,,,
Glacier_BM2,1,4,A3,,,,,,,,,,,,,,,,,,,
Glacier_BM2,1,4,A4,,,,,,,,,,,,,,,,,,,
Glacier_BM2,1,4,A5,,,,,,,,,,,,,,,,,,,
Glacier_BM2,1,4,A6,,,,,,,,,,,,,,,,,,,
Glacier_BM2,1,4,A7,letw1,p37,HipSci,iPSC,,,,WT,,,,,E8,VTN,24.03.2022,RL,NI2022,1/2 plate,
Glacier_BM2,1,5,E2,HEL61.1,p13,BSCC,iPSC,,,,WT,Sendai,,F,General Stock,E8,VTN,14.06.2021,RW,,1 plate,70.0
Glacier_BM2,1,5,E3,HEL11.4,p35,BSCC,iPSC,,,,WT,Retro,,M,General Stock,E8,VTN,17.06.2021,AS,,1 plate,90.0
Glacier_BM2,1,5,E4,HEL11.4,p35,BSCC,iPSC,,,,WT,Retro,,M,General Stock,E8,VTN,17.06.2021,AS,,1 plate,90.0
Glacier_BM2,1,5,E5,HEL11.4,p35,BSCC,iPSC,,,,WT,Retro,,M,General Stock,E8,VTN,17.06.2021,AS,,1 plate,90.0
Glacier_BM2,1,5,E6,HEL61.2,p20,BSCC,iPSC,,,,WT,Sendai,,F,General Stock,E8,VTN,21.06.2021,AS,,1/2 plate,65.0
Glacier_BM2,1,6,G5,Pool1_wo_ierp4,p6,HipSci,iPSC,,1.0,,,,,,,E8,,20.10.2022,RL,NI2022A,1 plate,90.0
Glacier_BM2,1,6,G6,Pool1_wo_ierp4,p6,HipSci,iPSC,,1.0,,,,,,,E8,,20.10.2022,RL,NI2022A,1 plate,90.0
Glacier_BM2,1,6,G7,Pool2_w_erp4,p6,HipSci,iPSC,,1.0,,,,,,,E8,,20.10.2022,RL,NI2022A,1 plate,90.0
Glacier_BM2,1,6,G8,Pool2_w_ierp4,p6,HipSci,iPSC,,1.0,,,,,,,E8,,20.10.2022,RL,NI2022A,1 plate,90.0
Glacier_BM2,1,11,A8,,,,,,,,,,,,,,,,,,,
Glacier_BM2,1,11,A9,,,,,,,,,,,,,,,,,,,
Glacier_BM2,1,11,B1,HEL312.3,p13,BSCC,iPSC,,,,ASH1L,Sendai,,M,,E8,VTN,07.08.2023,AS,Characterized,,60.0
Glacier_BM2,1,11,B2,HEL313.5,p10,BSCC,iPSC,,,,ASH1L,Sendai,,M,,E8,VTN,14.07.2023,AS,38C,,70.0
